Name,ID,Type
Coffee (Bold),100,Coffee
Coffee (Mild),101,Coffee
Coffee (Decaf),102,Coffee
Coffee (Iced),103,Coffee
MM Premium Berry Blend,104,Juice
MM Orange Juice,105,Juice
Grapefruit Juice,106,Juice
Apple Juice,107,Juice
Tomato Juice,108,Juice
2% Milk,109,Milk
Chocolate Milk,110,Milk
Coca Cola,111,Soft Drink
Diet Coca Cola,112,Soft Drink
Sprite,113,Soft Drink
Dr. Pepper,114,Soft Drink
Root Beer,115,Soft Drink
Fanta,116,Soft Drink
Hi-C,117,Soft Drink
Hot Chocolate,118,Other
Hot Tea/Herbal Tea,119,Other
Chocolate Milkshake,120,Milkshake
Vanilla Milkshake,121,Milkshake
Strawberry Milkshake,122,Milkshake
Oreo Milkshake,123,Milkshake
Chocolate Peanut Butter Milkshake,124,Milkshake
