Name,ID,Type
Hearty Chili (Bowl),200,Soup
Hearty Chili (Cup),201,Soup
Vegetable Beef (Bowl),202,Soup
Vegetable Beef (Cup),203,Soup
Loaded Baked Potato (Bowl),204,Soup
Loaded Baked Potato (Cup),205,Soup
Clam Chowder (Bowl,206,Soup
Clam Chowder (Cup),207,Soup
Broccoli & Chedder (Bowl),208,Soup
Broccoli & Chedder (Cup),209,Soup
Chicken Noodle (Bowl),210,Soup
Chicken Noodle (Cup),211,Soup
Chef's Salad,212,Salad
Garden Salad,213,Salad
Caesar Salad,214,Salad
Loaded Bacon Cheddar Tots,215,Appetizer
Chicken Bites,216,Appetizer
Chicken Quesadilla,217,Appetizer
Mozarella Cheese Sticks,218,Appetizer
Buffalo Wings,219,Appetizer
Zesty Nachos,220,Appetizer
